Gradient_Bin,Height_km,Gradient_RMSE_dBZ
0,20.28,0.0
1,20.04,0.0
2,19.79,0.0
3,19.55,0.038
4,19.31,0.038
5,19.06,0.0236
6,18.82,0.0236
7,18.58,0.0
8,18.34,0.0832
9,18.09,0.0948
10,17.85,0.1356
11,17.61,0.1851
12,17.36,0.2543
13,17.12,0.2813
14,16.88,0.3
15,16.64,0.3394
16,16.39,0.3858
17,16.15,0.4378
18,15.91,0.5032
19,15.66,0.5643
20,15.42,0.6254
21,15.18,0.6636
22,14.94,0.7618
23,14.69,0.8477
24,14.45,0.9391
25,14.21,1.0171
26,13.96,1.1069
27,13.72,1.1461
28,13.48,1.225
29,13.24,1.2542
30,12.99,1.3052
31,12.75,1.3158
32,12.51,1.3519
33,12.26,1.3869
34,12.02,1.4111
35,11.78,1.4331
36,11.54,1.4551
37,11.29,1.4862
38,11.05,1.5307
39,10.81,1.5656
40,10.56,1.5966
41,10.32,1.5945
42,10.08,1.5687
43,9.84,1.5891
44,9.59,1.6003
45,9.35,1.5431
46,9.11,1.5653
47,8.86,1.5996
48,8.62,1.6464
49,8.38,1.6336
50,8.14,1.6383
51,7.89,1.6119
52,7.65,1.6166
53,7.41,1.6437
54,7.16,1.6364
55,6.92,1.6547
56,6.68,1.6895
57,6.44,1.6638
58,6.19,1.6604
59,5.95,1.6421
60,5.71,1.6108
61,5.46,1.6216
62,5.22,1.6465
63,4.98,1.6155
64,4.74,1.6483
65,4.49,1.6199
66,4.25,1.565
67,4.01,1.5713
68,3.76,1.5704
69,3.52,1.6003
70,3.28,1.6107
71,3.04,1.6612
72,2.79,1.7076
73,2.55,1.831
74,2.31,1.8729
75,2.06,2.0174
76,1.82,2.0848
77,1.58,2.0022
78,1.34,2.1177
79,1.09,2.4089
80,0.85,2.8228
81,0.61,4.727
82,0.36,4.6825
83,0.12,0.0005
