Profile_Index,Valid_Count,Gradient_RMSE_dBZ
0,0,
1,0,
2,6,5.6042566
3,7,5.8823285
4,6,4.261212
5,11,3.9344747
6,3,1.5717245
7,9,2.9512892
8,11,3.0486438
9,11,2.396592
10,14,2.5160947
11,9,2.1879869
12,3,2.7728796
13,10,6.051463
14,5,4.0831723
15,14,2.945352
16,14,2.7837877
17,12,2.0227327
18,15,2.014545
19,15,1.3816267
20,14,2.6566446
21,12,2.3156571
22,14,3.466279
23,14,3.28188
24,9,4.113625
25,11,3.2665598
26,7,4.1059823
27,5,1.7105064
28,0,
29,6,2.274825
30,5,3.1755977
31,2,
32,0,
33,0,
34,3,2.7013493
35,6,6.3274484
36,8,4.932375
37,8,5.6910877
38,9,4.9364347
39,11,5.2772326
40,9,5.526532
41,3,6.7179236
42,6,3.9702501
43,2,
44,5,4.1656756
45,6,1.7154198
46,6,2.1398032
47,7,1.7279793
48,5,2.8672674
49,5,3.6378992
50,4,1.9258399
51,1,
52,4,1.6487938
53,3,3.1261292
54,0,
55,4,1.0634319
56,3,1.5886258
57,0,
58,0,
59,3,2.1809523
60,3,2.2673297
61,1,
62,6,2.8175972
63,7,2.012742
64,3,3.7563004
65,2,
66,5,4.3346443
67,32,5.74025
68,32,5.9722033
69,32,5.8848825
70,32,5.871478
71,31,6.0014524
72,30,6.291801
73,31,6.753545
74,30,7.0980678
75,32,7.080829
76,34,6.538975
77,32,6.7306247
78,32,7.7160864
79,32,7.7076225
80,33,7.583719
81,30,7.6478386
82,30,7.702631
83,30,7.8335114
84,31,3.3838017
85,31,3.2408345
86,34,3.1337411
87,35,7.2265
88,37,6.5330567
89,33,3.4750426
90,40,6.062452
91,39,6.1561713
92,36,6.159889
93,35,6.07989
94,35,6.163903
95,36,5.9455647
96,38,5.953169
97,39,5.8898263
98,37,6.082954
99,39,5.768125
100,39,5.6148295
101,40,5.3806987
102,42,5.713834
103,42,5.275774
104,41,5.2721457
105,41,5.6335278
106,40,1.7289569
107,40,1.3505237
108,38,1.9845277
109,24,3.7909982
110,36,3.104093
111,34,3.233318
112,34,3.837786
113,36,2.1801128
114,39,6.1511087
115,37,5.795782
116,37,6.430553
117,37,5.955523
118,38,5.847068
119,35,6.236395
120,36,6.254733
121,36,6.0823197
122,36,5.9997954
123,36,5.8351555
124,36,5.7021737
125,37,5.5461483
126,38,5.580334
127,40,5.9166493
128,37,6.3566594
129,38,6.5857825
130,37,6.4422817
131,43,6.09729
132,43,5.7880926
133,42,5.173541
134,41,5.3594184
135,42,2.5988915
136,41,5.8009233
137,43,2.2917562
138,43,5.7004642
139,43,5.1465135
140,43,5.832494
141,35,4.2345843
142,38,3.88157
143,37,3.6516669
144,35,3.5433698
145,42,2.5096583
146,42,3.4160602
147,42,3.5809627
148,39,3.6257656
149,40,3.452819
150,41,3.3216388
151,41,3.0480163
152,40,3.087089
153,40,3.3536503
154,35,3.4468036
155,41,2.9678106
156,38,3.6040387
157,39,3.626539
158,40,6.955617
159,40,5.817756
160,38,6.9041357
161,37,6.2388997
162,37,6.637321
163,37,6.386333
164,39,6.189146
165,39,5.8141656
166,42,5.790479
167,39,3.1741166
168,41,2.4819102
169,41,2.6767962
170,39,3.7631865
171,38,4.2518024
172,38,3.4419854
173,31,3.634357
174,38,3.9543934
175,32,3.8212154
176,28,4.273675
177,28,3.74804
178,26,4.2886786
179,24,3.3880615
180,24,3.2384758
181,19,5.9875884
182,18,6.583391
183,13,2.572414
184,11,2.659473
185,18,3.4917536
186,13,3.2037668
187,8,4.3029027
188,13,3.1690793
189,12,2.481896
190,14,3.2073545
191,12,2.886235
192,14,3.61634
193,15,3.6150124
194,10,3.6039479
195,15,4.3323903
196,16,2.7094421
197,15,2.3013887
198,10,3.8407342
199,13,2.0327296
200,13,3.8094156
201,10,3.1672008
202,15,3.0117354
203,16,3.533548
204,15,3.2322483
205,17,3.7178574
206,19,2.8038037
207,13,2.9082148
208,16,2.1185038
209,17,3.6747365
210,17,3.9555993
211,15,3.8376927
212,20,3.6335187
213,22,4.988569
214,10,2.7053502
215,19,2.6457734
216,12,1.8543948
217,8,1.268137
218,7,4.187854
219,14,3.1924825
220,12,3.2835243
221,10,6.105506
222,8,1.3943931
223,17,4.3162603
