Metric,Value
Global_RMSE_dBZ,3.8231819
Global_Bias_dBZ,-0.11961693
Corr_Unfiltered_mean,0.6847035
Corr_Unfiltered_max,0.99768513
Corr_Unfiltered_min,-0.539241
Corr_Unfiltered_median,0.7946792
Corr_Unfiltered_std,0.29816607
Corr_Unfiltered_mode,0.94
Corr_Filtered_mean,0.3609386
Corr_Filtered_max,1.0
Corr_Filtered_min,-1.0
Corr_Filtered_median,0.52540386
Corr_Filtered_std,0.53741753
Corr_Filtered_mode,0.9
RMSE_Unfiltered_mean,1.7774235
RMSE_Unfiltered_max,32.13339
RMSE_Unfiltered_min,0.02784856
RMSE_Unfiltered_median,0.13363759
RMSE_Unfiltered_std,3.3848908
RMSE_Unfiltered_mode,0.34890395
RMSE_Filtered_mean,12.321401
RMSE_Filtered_max,47.41033
RMSE_Filtered_min,0.16692716
RMSE_Filtered_median,11.246332
RMSE_Filtered_std,6.6395125
RMSE_Filtered_mode,11.977778
GradRMSE_Unfiltered_mean,0.7722138
GradRMSE_Unfiltered_max,7.5171347
GradRMSE_Unfiltered_min,0.012981954
GradRMSE_Unfiltered_median,0.03419635
GradRMSE_Unfiltered_std,1.3350245
GradRMSE_Unfiltered_mode,0.08802348
GradRMSE_Filtered_mean,3.3605418
GradRMSE_Filtered_max,22.132679
GradRMSE_Filtered_min,0.008195753
GradRMSE_Filtered_median,3.1063364
GradRMSE_Filtered_std,1.556602
GradRMSE_Filtered_mode,2.8843784
PeakError_Filtered_mean,-0.24097195
PeakError_Filtered_max,12.385715
PeakError_Filtered_min,-12.8714285
PeakError_Filtered_median,0.0
PeakError_Filtered_std,1.9948628
PeakError_Filtered_mode,-0.49542856
